date,campaign_name,clicks,impressions,cost,conversions,conversion_value
2024-09-19,Hire-Intl,88,4825,22.04,0,498.93
2024-09-20,Hire-Intl,175,2510,93.26,1,523.19
2024-09-21,Hire-Intl,74,9244,132.86,2,486.82
2024-09-22,Hire-Intl,16,4928,3.12,0,217.33
2024-09-23,Hire-Intl,151,2122,10.64,2,5.09
2024-09-24,Hire-Intl,90,110,9.98,1,350.22
2024-09-25,Hire-Intl,72,8324,133.07,4,155.04
2024-09-26,Hire-Intl,22,4534,28.53,5,196.73
2024-09-27,Hire-Intl,149,1422,58.16,0,473.18
2024-09-28,Hire-Intl,90,4175,162.34,5,386.24
2024-09-29,Hire-Intl,102,1707,178.61,2,597.04
2024-09-30,Hire-Intl,44,9339,87.16,2,804.38
2024-08-01,Retention,35,3368,50.0,3,554.28
2024-08-02,Retention,77,5097,17.12,4,927.12
2024-08-03,Retention,118,9042,36.67,3,96.04
2024-08-04,Retention,134,7340,138.83,4,934.88
2024-08-05,Retention,182,5958,93.68,3,466.55
2024-08-06,Retention,105,7657,5.53,4,26.42
2024-08-07,Retention,196,6996,17.69,1,615.21
2024-08-08,Retention,77,4075,116.06,2,127.27
2024-08-09,Retention,139,9366,175.56,0,755.34
2024-08-10,Retention,100,2163,80.59,0,462.81
2024-08-11,Retention,195,8587,92.04,0,84.66
2024-08-12,Retention,69,1853,66.7,0,821.94
2024-08-13,Retention,144,7988,138.12,0,121.44
2024-08-14,Retention,149,8469,147.87,0,701.57
2024-08-15,Retention,132,2461,112.41,3,136.4
2024-08-16,Retention,172,2635,60.18,2,719.14
2024-08-17,Retention,1,8045,124.73,1,114.71
2024-08-18,Retention,0,2607,120.76,0,519.82
2024-08-19,Retention,63,3447,20.72,0,832.73
2024-08-20,Retention,113,6501,11.13,0,299.92
2024-08-21,Retention,123,3115,164.05,4,260.27
2024-08-22,Retention,156,7294,171.86,4,123.2
2024-08-23,Retention,37,454,36.96,5,657.47
2024-08-24,Retention,43,8480,148.33,4,200.35
2024-08-25,Retention,122,4851,57.89,0,959.09
2024-08-26,Retention,126,6118,133.54,3,385.82
2024-08-27,Retention,27,7701,83.38,3,148.17
2024-08-28,Retention,72,7588,24.03,3,11.02
2024-08-29,Retention,77,658,129.02,5,619.88
2024-08-30,Retention,10,5911,192.56,3,882.42
2024-08-31,Retention,117,4636,1.82,1,357.75
2024-09-01,Retention,128,3553,69.77,5,525.06
2024-09-02,Retention,131,1128,34.9,1,351.87
2024-09-03,Retention,184,9326,67.86,5,858.66
2024-09-04,Retention,35,4660,156.99,5,302.93
2024-09-05,Retention,100,1217,183.23,5,483.74
2024-09-06,Retention,120,3055,115.21,4,775.4
2024-09-07,Retention,134,4347,25.88,2,588.85
2024-09-08,Retention,148,5803,116.9,3,67.57
2024-09-09,Retention,7,2707,46.34,5,106.22
2024-09-10,Retention,173,7905,64.73,1,981.33
2024-09-11,Retention,187,3976,21.09,1,728.16
2024-09-12,Retention,98,6982,184.48,0,611.9
2024-09-13,Retention,29,713,169.36,0,441.53
2024-09-14,Retention,95,582,184.71,2,107.66
2024-09-15,Retention,115,6287,26.64,5,573.78
2024-09-16,Retention,51,3306,50.5,3,678.85
2024-09-17,Retention,57,3396,148.43,3,813.84
2024-09-18,Retention,49,1509,116.42,5,959.83
2024-09-19,Retention,24,3434,6.65,1,893.29
2024-09-20,Retention,92,6785,113.66,0,340.71
2024-09-21,Retention,174,8753,99.24,1,570.37
2024-09-22,Retention,121,8305,70.42,4,899.76
2024-09-23,Retention,35,1200,87.78,5,376.12
2024-09-24,Retention,18,9424,15.63,4,298.23
2024-09-25,Retention,30,8270,46.11,4,540.54
2024-09-26,Retention,5,3770,164.27,2,922.27
2024-09-27,Retention,64,6496,140.65,0,872.44
2024-09-28,Retention,40,4819,14.96,4,241.4
2024-09-29,Retention,132,8292,62.45,4,56.65
2024-09-30,Retention,178,1916,116.55,2,653.23
2024-08-01,Brand-Awareness,8,5638,84.28,1,334.54
2024-08-02,Brand-Awareness,195,1073,27.86,4,816.76
2024-08-03,Brand-Awareness,84,1121,47.12,0,805.66
2024-08-04,Brand-Awareness,144,679,69.17,0,949.91
2024-08-05,Brand-Awareness,153,1420,177.5,3,946.6
2024-08-06,Brand-Awareness,69,783,20.81,3,507.6
2024-08-07,Brand-Awareness,166,5838,86.3,2,781.54
2024-08-08,Brand-Awareness,58,451,186.25,0,773.61
2024-08-09,Brand-Awareness,50,8852,121.63,3,681.94
2024-08-10,Brand-Awareness,188,396,110.5,0,387.12
2024-08-11,Brand-Awareness,96,2151,85.94,3,549.54
2024-08-12,Brand-Awareness,29,7275,23.6,4,982.53
2024-08-13,Brand-Awareness,94,5863,38.73,3,918.07
2024-08-14,Brand-Awareness,60,3901,18.4,0,227.13
2024-08-15,Brand-Awareness,191,8885,113.61,0,873.26
2024-08-16,Brand-Awareness,63,1031,15.32,1,438.56
2024-08-17,Brand-Awareness,72,816,62.83,4,655.21
2024-08-18,Brand-Awareness,62,4890,25.94,3,478.7
2024-08-19,Brand-Awareness,31,1358,15.28,4,205.86
2024-08-20,Brand-Awareness,180,5948,179.53,1,443.54
2024-08-21,Brand-Awareness,77,6111,156.04,2,868.97
2024-08-22,Brand-Awareness,62,8731,178.6,2,697.77
2024-08-23,Brand-Awareness,128,1810,10.8,3,705.5
2024-08-24,Brand-Awareness,159,8066,55.96,1,912.05
2024-08-25,Brand-Awareness,133,3877,60.99,4,210.77
2024-08-26,Brand-Awareness,95,2425,7.17,1,698.34
2024-08-27,Brand-Awareness,166,7534,190.61,0,498.91
2024-08-28,Brand-Awareness,8,4528,55.59,3,300.41
2024-08-29,Brand-Awareness,21,1078,55.82,4,383.94
2024-08-30,Brand-Awareness,4,6368,76.93,0,224.45
2024-08-31,Brand-Awareness,97,3121,131.99,4,52.26
2024-09-01,Brand-Awareness,78,612,108.31,2,937.22
2024-09-02,Brand-Awareness,155,5608,184.54,2,810.24
2024-09-03,Brand-Awareness,151,3647,151.45,2,725.79
2024-09-04,Brand-Awareness,159,7211,173.15,5,928.57
2024-09-05,Brand-Awareness,192,1035,161.48,4,388.11
2024-09-06,Brand-Awareness,184,4809,171.7,4,463.5
2024-09-07,Brand-Awareness,146,9411,153.8,2,162.55
2024-09-08,Brand-Awareness,97,7756,149.13,1,131.87
2024-09-09,Brand-Awareness,3,4698,159.92,2,85.54
2024-09-10,Brand-Awareness,63,8993,59.16,4,394.6
2024-09-11,Brand-Awareness,157,4593,72.34,5,250.51
2024-09-12,Brand-Awareness,167,302,24.86,4,660.78
2024-09-13,Brand-Awareness,67,3029,88.76,0,439.91
2024-09-14,Brand-Awareness,119,706,193.18,3,637.74
2024-09-15,Brand-Awareness,142,3669,81.72,4,938.83
2024-09-16,Brand-Awareness,70,9134,62.81,0,440.44
2024-09-17,Brand-Awareness,66,4624,51.91,3,127.22
2024-09-18,Brand-Awareness,161,2958,29.38,4,655.98
2024-09-19,Brand-Awareness,59,1975,130.92,1,684.44
2024-09-20,Brand-Awareness,112,9600,63.47,4,717.36
2024-09-21,Brand-Awareness,15,4344,195.06,0,678.39
2024-09-22,Brand-Awareness,90,8954,143.66,4,234.7
2024-09-23,Brand-Awareness,27,1369,101.39,0,511.04
2024-09-24,Brand-Awareness,60,3443,65.16,2,829.14
2024-09-25,Brand-Awareness,174,6915,14.28,3,875.85
2024-09-26,Brand-Awareness,36,504,65.31,2,334.99
2024-09-27,Brand-Awareness,104,6239,94.14,2,621.92
2024-09-28,Brand-Awareness,41,6134,8.92,1,911.87
2024-09-29,Brand-Awareness,6,1840,121.81,2,510.8
2024-09-30,Brand-Awareness,199,8426,156.69,5,344.05
