send_date,campaign_name,sends,opens,clicks,conversions,conversion_value
2024-09-26,Onboarding,65,15,2,0,0.0
2024-09-27,Onboarding,257,54,9,1,117.08
2024-09-28,Onboarding,236,36,8,0,0.0
2024-09-29,Onboarding,106,25,3,0,0.0
2024-09-30,Onboarding,292,99,21,0,0.0
2024-08-01,Promo,293,82,21,0,0.0
2024-08-02,Promo,283,53,13,0,0.0
2024-08-03,Promo,103,19,2,0,0.0
2024-08-04,Promo,270,75,11,0,0.0
2024-08-05,Promo,155,23,5,0,0.0
2024-08-06,Promo,55,15,3,0,0.0
2024-08-07,Promo,60,8,1,0,0.0
2024-08-08,Promo,113,12,2,0,0.0
2024-08-09,Promo,152,20,4,0,0.0
2024-08-10,Promo,68,15,3,0,0.0
2024-08-11,Promo,240,73,16,0,0.0
2024-08-12,Promo,252,49,13,2,492.39
2024-08-13,Promo,158,36,3,0,0.0
2024-08-14,Promo,117,40,8,0,0.0
2024-08-15,Promo,106,36,7,0,0.0
2024-08-16,Promo,186,42,7,1,231.89
2024-08-17,Promo,293,56,11,0,0.0
2024-08-18,Promo,299,31,7,0,0.0
2024-08-19,Promo,77,20,3,0,0.0
2024-08-20,Promo,74,17,2,0,0.0
2024-08-21,Promo,71,9,2,0,0.0
2024-08-22,Promo,195,56,6,0,0.0
2024-08-23,Promo,239,44,5,0,0.0
2024-08-24,Promo,154,48,7,0,0.0
2024-08-25,Promo,175,41,6,0,0.0
2024-08-26,Promo,231,50,10,1,233.27
2024-08-27,Promo,285,35,8,0,0.0
2024-08-28,Promo,91,20,2,0,0.0
2024-08-29,Promo,79,8,1,0,0.0
2024-08-30,Promo,174,23,6,0,0.0
2024-08-31,Promo,80,16,2,0,0.0
2024-09-01,Promo,183,33,9,1,91.49
2024-09-02,Promo,124,28,3,0,0.0
2024-09-03,Promo,182,45,8,0,0.0
2024-09-04,Promo,241,67,18,0,0.0
2024-09-05,Promo,262,57,9,0,0.0
2024-09-06,Promo,300,30,7,0,0.0
2024-09-07,Promo,167,30,3,0,0.0
2024-09-08,Promo,139,36,9,0,0.0
2024-09-09,Promo,99,16,4,0,0.0
2024-09-10,Promo,128,24,6,1,190.28
2024-09-11,Promo,214,56,6,0,0.0
2024-09-12,Promo,121,17,3,0,0.0
2024-09-13,Promo,215,62,10,1,198.04
2024-09-14,Promo,120,40,9,1,277.31
2024-09-15,Promo,103,14,3,0,0.0
2024-09-16,Promo,255,64,8,0,0.0
2024-09-17,Promo,69,22,2,0,0.0
2024-09-18,Promo,220,47,7,1,110.19
2024-09-19,Promo,150,29,5,0,0.0
2024-09-20,Promo,183,32,3,0,0.0
2024-09-21,Promo,92,30,8,1,259.97
2024-09-22,Promo,193,40,9,0,0.0
2024-09-23,Promo,280,58,9,0,0.0
2024-09-24,Promo,169,49,8,0,0.0
2024-09-25,Promo,274,95,27,2,189.5
2024-09-26,Promo,241,84,11,0,0.0
2024-09-27,Promo,200,35,4,0,0.0
2024-09-28,Promo,285,29,4,0,0.0
2024-09-29,Promo,151,16,3,0,0.0
2024-09-30,Promo,298,72,7,1,167.7
2024-08-01,News,205,52,10,1,268.73
2024-08-02,News,242,57,6,0,0.0
2024-08-03,News,232,32,7,1,82.91
2024-08-04,News,157,48,5,0,0.0
2024-08-05,News,130,16,3,0,0.0
2024-08-06,News,207,58,9,1,274.92
2024-08-07,News,279,77,21,2,572.15
2024-08-08,News,182,18,4,0,0.0
2024-08-09,News,65,7,1,0,0.0
2024-08-10,News,71,10,1,0,0.0
2024-08-11,News,154,22,5,0,0.0
2024-08-12,News,120,28,3,0,0.0
2024-08-13,News,72,17,3,0,0.0
2024-08-14,News,236,28,4,0,0.0
2024-08-15,News,93,27,3,0,0.0
2024-08-16,News,235,78,12,1,285.66
2024-08-17,News,271,40,10,0,0.0
2024-08-18,News,230,39,6,0,0.0
2024-08-19,News,263,38,10,0,0.0
2024-08-20,News,228,47,5,0,0.0
2024-08-21,News,247,64,12,1,257.93
2024-08-22,News,59,19,4,0,0.0
2024-08-23,News,229,47,10,1,122.17
2024-08-24,News,137,37,7,1,248.57
2024-08-25,News,73,16,2,0,0.0
2024-08-26,News,286,36,8,0,0.0
2024-08-27,News,200,36,7,0,0.0
2024-08-28,News,132,36,8,1,51.97
2024-08-29,News,157,34,5,0,0.0
2024-08-30,News,141,24,4,0,0.0
2024-08-31,News,257,65,14,2,465.48
2024-09-01,News,171,52,7,0,0.0
2024-09-02,News,223,44,4,0,0.0
2024-09-03,News,289,93,18,1,243.52
2024-09-04,News,294,71,15,0,0.0
2024-09-05,News,126,40,11,2,199.23
2024-09-06,News,298,72,9,1,247.14
2024-09-07,News,63,21,3,0,0.0
2024-09-08,News,167,33,6,0,0.0
2024-09-09,News,94,16,1,0,0.0
2024-09-10,News,73,20,2,0,0.0
2024-09-11,News,51,11,1,0,0.0
2024-09-12,News,228,34,6,0,0.0
2024-09-13,News,112,32,3,0,0.0
2024-09-14,News,84,16,2,0,0.0
2024-09-15,News,273,56,10,0,0.0
2024-09-16,News,239,81,8,1,94.54
2024-09-17,News,110,21,3,0,0.0
2024-09-18,News,242,48,5,0,0.0
2024-09-19,News,61,9,1,0,0.0
2024-09-20,News,158,21,3,0,0.0
2024-09-21,News,116,39,7,0,0.0
2024-09-22,News,263,33,8,0,0.0
2024-09-23,News,217,68,17,0,0.0
2024-09-24,News,197,44,10,0,0.0
2024-09-25,News,221,44,11,0,0.0
2024-09-26,News,212,27,7,1,175.52
2024-09-27,News,249,54,9,1,141.22
2024-09-28,News,251,36,6,0,0.0
2024-09-29,News,70,9,1,0,0.0
2024-09-30,News,100,22,4,0,0.0
