lead_id,user_id,created_at,lead_stage,stage_updated_at,assigned_segment,first_touch_channel,first_touch_time,revenue
09b7fdf7-7d8d-4ddd-acf1-49cb4f1e1a37,user_0224,2024-09-10T06:54:00,MQL,2024-09-14T06:54:00,Enterprise,email,2024-09-10T06:54:00,0.0
9a069295-3b8d-4447-8e61-065f171b1b80,user_0177,2024-09-30T04:22:00,Won,2024-10-04T04:22:00,SMB,google,2024-09-30T04:22:00,0.0
7a5d7c82-86c5-447c-851a-00393803dcee,user_0048,2024-10-23T12:47:00,MQL,2024-11-05T12:47:00,Enterprise,linkedin,2024-10-23T12:47:00,0.0
9d37efb6-eafb-4e90-94ec-84ce002ccb25,user_0199,2024-09-22T01:08:00,SQL,2024-09-26T01:08:00,Mid-Market,linkedin,2024-09-22T01:08:00,0.0
573bfc17-2167-435e-8e73-34f233932b6c,user_0007,2024-10-07T17:06:00,MQL,2024-10-18T17:06:00,Enterprise,google,2024-10-07T17:06:00,0.0
cd6bb03b-eb35-47a0-ad6e-0291b7893986,user_0041,2024-09-30T04:58:00,Won,2024-10-14T04:58:00,Mid-Market,google,2024-09-30T04:58:00,567.79
0f3f0f48-52d6-4779-9e43-79cbd8230076,user_0148,2024-10-09T13:14:00,Opportunity,2024-10-21T13:14:00,Enterprise,direct,2024-10-09T13:14:00,475.38
b466fab6-962c-44dd-a5d0-7461059c1574,user_0021,2024-09-24T13:11:00,MQL,2024-10-02T13:11:00,Mid-Market,direct,2024-09-24T13:11:00,0.0
1c654aa2-c63c-421d-a443-5958eacf33a9,user_0250,2024-10-18T11:08:00,Won,2024-11-01T11:08:00,Enterprise,direct,2024-10-18T11:08:00,0.0
5d696bc8-dc54-459b-86bb-42c7d8b2f8b6,user_0220,2024-10-10T13:13:00,Won,2024-10-17T13:13:00,SMB,email,2024-10-10T13:13:00,427.04
b45c9a54-5fa3-4531-9291-6e60f5e72daf,user_0153,2024-10-05T10:16:00,MQL,2024-10-17T10:16:00,SMB,email,2024-10-05T10:16:00,0.0
96053035-6545-4030-a981-fa54f121e129,user_0234,2024-09-29T19:36:00,SQL,2024-10-03T19:36:00,Mid-Market,direct,2024-09-29T19:36:00,690.88
52961fb3-4d40-4b28-9628-ddcd19dd3e8c,user_0295,2024-10-01T00:26:00,MQL,2024-10-09T00:26:00,Enterprise,google,2024-10-01T00:26:00,0.0
bb7b6c05-2852-4ca2-b9d2-014a22ee7f07,user_0004,2024-09-11T13:10:00,Opportunity,2024-09-17T13:10:00,Mid-Market,linkedin,2024-09-11T13:10:00,0.0
a3a6ef83-cab6-4107-afd6-9b3af2dd9456,user_0012,2024-09-03T10:17:00,Won,2024-09-15T10:17:00,Mid-Market,direct,2024-09-03T10:17:00,0.0
